ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_ID,Map_Name
308,Sarcee,,,,sars1236,traditional,haynie2019modern,features,Fig. 1
309,Sayula Popoluca,,,,sayu1241,traditional,haynie2019modern,features,Fig. 1
310,Sechelt,,,,sech1246,traditional,haynie2019modern,features,Fig. 1
311,Sekani,,,,seka1250,traditional,haynie2019modern,features,Fig. 1
312,Seneca,,,,sene1264,traditional,haynie2019modern,features,Fig. 1
313,Seri,,,,seri1257,traditional,haynie2019modern,features,Fig. 1
314,Serrano,,,,serr1255,traditional,haynie2019modern,features,Fig. 1
315,Severn Ojibwa,,,,seve1240,traditional,haynie2019modern,features,Fig. 1
316,Seward Peninsula Inupiatun,,,,nort2945,traditional,haynie2019modern,features,Fig. 1
317,Shawnee,,,,shaw1249,traditional,haynie2019modern,features,Fig. 1
318,Shoshoni,,,,,traditional,haynie2019modern,features,Fig. 1
319,Shuswap,,,,shus1248,traditional,haynie2019modern,features,Fig. 1
320,Siksika,,,,siks1238,traditional,haynie2019modern,features,Fig. 1
321,Sipacapense,,,,sipa1247,traditional,haynie2019modern,features,Fig. 1
322,Siuslaw,,,,sius1254,traditional,haynie2019modern,features,Fig. 1
323,Slavey,,,,sout2959,traditional,haynie2019modern,features,Fig. 1
324,Solano,,,,sanf1266,traditional,haynie2019modern,features,Fig. 1
325,Southern Baja Mixtec,,,,mixt1427,traditional,haynie2019modern,features,Fig. 1
326,Southern Core Zapotec,,,,sout3003,traditional,haynie2019modern,features,Fig. 1
327,Southern Ohlone,,,,sout2986,traditional,haynie2019modern,features,Fig. 1
328,Southern Pomo,,,,sout2984,traditional,haynie2019modern,features,Fig. 1
329,Southern Sierra Miwok ,,,,sout2985,traditional,haynie2019modern,features,Fig. 1
330,Southern Tepehuan,,,,sout2977,traditional,haynie2019modern,features,Fig. 1
331,Southern Tiwa,,,,sout2961,traditional,haynie2019modern,features,Fig. 1
332,Southern Tutchone,,,,sout2957,traditional,haynie2019modern,features,Fig. 1
333,Spokane,,,,spok1245,traditional,haynie2019modern,features,Fig. 1
334,Squamish,,,,squa1248,traditional,haynie2019modern,features,Fig. 1
335,Stoney,,,,ston1242,traditional,haynie2019modern,features,Fig. 1
336,Subtiaba,,,,subt1250,traditional,haynie2019modern,features,Fig. 1
337,Susquehannock,,,,susq1241,traditional,haynie2019modern,features,Fig. 1
338,Swampy Cree,,,,swam1239,traditional,haynie2019modern,features,Fig. 1
339,Tabasco Chontal,,,,taba1266,traditional,haynie2019modern,features,Fig. 1
340,Tagish,,,,tagi1240,traditional,haynie2019modern,features,Fig. 1
341,Tahltan,,,,tahl1239,traditional,haynie2019modern,features,Fig. 1
342,Tahue,,,,,traditional,haynie2019modern,features,Fig. 1
343,Takelma,,,,take1257,traditional,haynie2019modern,features,Fig. 1
344,Tanacross,,,,tana1290,traditional,haynie2019modern,features,Fig. 1
345,Tanaina,,,,tana1289,traditional,haynie2019modern,features,Fig. 1
346,Taos,,,,nort1550,traditional,haynie2019modern,features,Fig. 1
347,Tapachultec,,,,tapa1260,traditional,haynie2019modern,features,Fig. 1
348,Tarahumara,,,,tara1321,traditional,haynie2019modern,features,Fig. 1
349,Tataviam,,,,serr1254,traditional,haynie2019modern,features,Fig. 1
350,Tawasa,,,,timu1245,traditional,haynie2019modern,features,Fig. 1
351,Tecoxquin,,,,,traditional,haynie2019modern,features,Fig. 1
352,Tektiteko,,,,tekt1235,traditional,haynie2019modern,features,Fig. 1
353,Tekwexe,,,,,traditional,haynie2019modern,features,Fig. 1
